iter	Passed	Remaining
881	33800	4522
882	33855	4485
883	33894	4447
884	33933	4409
885	33974	4371
886	34014	4333
887	34064	4296
888	34104	4258
889	34141	4219
890	34177	4181
891	34213	4142
892	34249	4103
893	34303	4067
894	34359	4030
895	34408	3993
896	34453	3956
897	34491	3917
898	34530	3879
899	34568	3840
900	34612	3803
901	34651	3764
902	34691	3726
903	34728	3687
904	34764	3649
905	34803	3610
906	34850	3573
907	34885	3534
908	34933	3497
909	34989	3460
910	35037	3422
911	35086	3385
912	35130	3347
913	35171	3309
914	35227	3272
915	35284	3235
916	35322	3197
917	35365	3159
918	35416	3121
919	35460	3083
920	35500	3045
921	35539	3006
922	35578	2968
923	35626	2930
924	35669	2892
925	35715	2854
926	35754	2815
927	35792	2776
928	35840	2739
929	35882	2700
930	35920	2662
931	35963	2623
932	36003	2585
933	36041	2546
934	36079	2508
935	36118	2469
936	36174	2432
937	36229	2394
938	36280	2356
939	36333	2319
940	36381	2281
941	36437	2243
942	36480	2205
943	36521	2166
944	36561	2127
945	36603	2089
946	36641	2050
947	36680	2012
948	36718	1973
949	36754	1934
950	36793	1895
951	36847	1857
952	36903	1819
953	36960	1782
954	37001	1743
955	37047	1705
956	37086	1666
957	37124	1627
958	37162	1588
959	37200	1550
960	37237	1511
961	37285	1472
962	37340	1434
963	37396	1396
964	37446	1358
965	37499	1319
966	37542	1281
967	37589	1242
968	37639	1204
969	37697	1165
970	37756	1127
971	37808	1089
972	37855	1050
973	37903	1011
974	37961	973
975	38002	934
976	38042	895
977	38086	856
978	38126	817
979	38168	778
980	38206	739
981	38243	701
982	38281	662
983	38318	623
984	38362	584
985	38397	545
986	38434	506
987	38469	467
988	38505	428
989	38542	389
990	38579	350
991	38616	311
992	38653	272
993	38691	233
994	38728	194
995	38764	155
996	38813	116
997	38857	77
998	38893	38
999	38931	0
