startTime,blockName,league,match_id,type,team_1_name,team_1_code,team_1_result,team_2_name,team_2_code,team_2_result,format,games
2024-03-23T08:30:00Z,Week 9,LCK,111561337007305569,normal,DRX,DRX,0,T1,T1,2,bestOf_3,"[['111561337007305570', [{'parameter': '119857063'}]], ['111561337007305571', [{'parameter': '119857063'}]], ['111561337007305572', []]]"
2024-03-24T06:00:00Z,Week 9,LCK,111561337007305621,normal,FearX,FOX,2,OKSavingsBank BRION,BRO,0,bestOf_3,"[['111561337007305622', [{'parameter': '119938985'}]], ['111561337007305623', [{'parameter': '119938985'}]], ['111561337007305624', []]]"
2024-03-24T08:30:00Z,Week 9,LCK,111561337007305677,normal,kt Rolster,KT,2,Kwangdong Freecs,KDF,0,bestOf_3,"[['111561337007305678', [{'parameter': '119953325'}]], ['111561337007305679', [{'parameter': '119953325'}]], ['111561337007305680', []]]"
2024-03-30T06:00:00Z,Playoffs - Round 1,LCK,111561337007371253,normal,Hanwha Life Esports,HLE,3,Kwangdong Freecs,KDF,0,bestOf_5,"[['111561337007371254', [{'parameter': '120491351'}]], ['111561337007371255', [{'parameter': '120491351'}]], ['111561337007371256', [{'parameter': '120491351'}]], ['111561337007371257', []], ['111561337007371258', []]]"
2024-03-31T06:00:00Z,Playoffs - Round 1,LCK,111561337007371259,normal,kt Rolster,KT,2,Dplus Kia,DK,3,bestOf_5,"[['111561337007371260', [{'parameter': '120594181'}]], ['111561337007371261', [{'parameter': '120594181'}]], ['111561337007371262', [{'parameter': '120594181'}]], ['111561337007371263', [{'parameter': '120594181'}]], ['111561337007371264', [{'parameter': '120594181'}]]]"
2024-04-03T08:00:00Z,Playoffs - Round 2,LCK,111561337007371265,normal,Gen.G,GEN,3,Dplus Kia,DK,2,bestOf_5,"[['111561337007371266', [{'parameter': '120896285'}]], ['111561337007371267', [{'parameter': '120896285'}]], ['111561337007371268', [{'parameter': '120896285'}]], ['111561337007371269', [{'parameter': '120896285'}]], ['111561337007371270', [{'parameter': '120896285'}]]]"
2024-04-04T08:00:00Z,Playoffs - Round 2,LCK,111561337007371271,normal,T1,T1,0,Hanwha Life Esports,HLE,3,bestOf_5,"[['111561337007371272', [{'parameter': '120975091'}]], ['111561337007371273', [{'parameter': '120975091'}]], ['111561337007371274', [{'parameter': '120975091'}]], ['111561337007371275', []], ['111561337007371276', []]]"
2024-04-06T06:00:00Z,Playoffs - Round 3,LCK,111561337007371277,normal,Gen.G,GEN,3,Hanwha Life Esports,HLE,1,bestOf_5,"[['111561337007371278', [{'parameter': '121163473'}]], ['111561337007371279', [{'parameter': '121163473'}]], ['111561337007371280', [{'parameter': '121163473'}]], ['111561337007371281', [{'parameter': '121163473'}]], ['111561337007371282', []]]"
2024-04-07T06:00:00Z,Playoffs - Round 3,LCK,111561337007371283,normal,T1,T1,3,Dplus Kia,DK,0,bestOf_5,"[['111561337007371284', [{'parameter': '121251767'}]], ['111561337007371285', [{'parameter': '121251767'}]], ['111561337007371286', [{'parameter': '121251767'}]], ['111561337007371287', []], ['111561337007371288', []]]"
2024-04-13T06:00:00Z,Playoffs - Round 3,LCK,111561337007371289,normal,Hanwha Life Esports,HLE,1,T1,T1,3,bestOf_5,"[['111561337007371290', [{'parameter': '121818813'}]], ['111561337007371291', [{'parameter': '121818813'}]], ['111561337007371292', [{'parameter': '121818813'}]], ['111561337007371293', [{'parameter': '121818813'}]], ['111561337007371294', []]]"
2024-04-14T06:00:00Z,Finals,LCK,111561337007371295,normal,Gen.G,GEN,3,T1,T1,2,bestOf_5,"[['111561337007371296', [{'parameter': '121920593'}]], ['111561337007371297', [{'parameter': '121920593'}]], ['111561337007371298', [{'parameter': '121920593'}]], ['111561337007371299', [{'parameter': '121920593'}]], ['111561337007371300', [{'parameter': '121920593'}]]]"
